cshom,prccm,tic
571876000.0,136.29,CAT
23006000.0,12.32,CATO
9098000.0,157.54,CVCO
9360000.0,8.44,RFIL
2097587000.0,0.0002,PZOO
510000.0,11.0,CTNR
1090313000.0,11.76,LUMN
14569000.0,0.0091,CRMK
120225000.0,0.004,CYDI
134765000.0,0.0002,TERA
24044000.0,74.23,MGLN
41767000.0,80.64,CMD
,4000.0,CHTM
6852000.0,0.004,DLPX
15940000.0,360.84,CHE
3243973000.0,111.8,JPM
16397000.0,95.02,CPK
20483000.0,1.82,IMNN
1904912000.0,124.44,CVX
966000.0,28.49,CVR
37500000.0,39.35,EAT
246219000.0,73.06,CHD
40200000.0,115.07,CHDN
50367000.0,4.95,CBB
8648000.0,0.01,CRLI
104571000.0,237.29,CTAS
56862000.0,15.05,IHRT
282845000.0,10.67,CLF
127368000.0,153.11,CLX
30000.0,0.2,FMYR
7141000.0,299.25,COKE
,,COKEB
4266115000.0,50.92,KO
221728000.0,4.34,CDE
24191000.0,136.37,COHR.1
41017000.0,15.43,COHU
858515000.0,71.67,CL
9155000.0,1.35,CCOM
9412000.0,107.64,CCF
14614000.0,0.0052,CMRO
240522000.0,192.98,AON
4529347000.0,42.28,CMCSA
154161000.0,72.64,CMA
110508000.0,59.66,CBSH
30751000.0,0.0341,CGCO
2312468000.0,70.03,C
117924000.0,17.85,CMC
,0.0,CBUIF
9317000.0,3.01,JCS
75912000.0,35.16,CAR
67362000.0,0.29,CHCR
268597000.0,55.15,DXC
13869000.0,4.01,CTG
24138000.0,28.11,CMTL
485915000.0,26.52,CAG
1653000.0,0.2002,UMAX
15794000.0,10.3,CMTX
15071000.0,3.08,RAVE
35216000.0,39.19,SSTK
12063000.0,69.72,CTWS
8718000.0,25.63,TCI
332902000.0,87.68,ED
2069000.0,103.86,BH
207000.0,530.52,BH.A
5028000.0,59.7,CTO
283754000.0,57.91,CMS
1715000.0,16.0,CUO
376746000.0,42.09,CLR
50150000.0,31.55,CTB
49488000.0,336.89,COO
196188000.0,56.0,TAP
,,TAP.Z.
2561000.0,57.3,TAP.A
,,TAP.Z
24274000.0,13.41,CBYDF
24274000.0,18.15,CSW.A
,12.85,CRBBF
4195000.0,16.65,CSW.B
784754000.0,33.23,GLW
3038000.0,21.5,CNIG
146757000.0,36.17,CUZ
24044000.0,170.73,CBRL
59888000.0,83.44,CR
23031000.0,9.31,CRD.B
30913000.0,10.53,CRD.A
170000.0,0.25,APYI
